Model,Storage,Status,Quality,Price
IPHONE 16 PRO MAX,512GB,locked,damaged,454
IPHONE 16 PRO MAX,512GB,unlocked,flawless,793.99
IPHONE 16 PRO MAX,512GB,unlocked,good,741.00
IPHONE 16 PRO MAX,512GB,unlocked,fair,655.00
IPHONE 16 PRO MAX,512GB,unlocked,damaged,564
iPhone 16 SE,128GB,locked,flawless,189
iPhone 16 SE,128GB,locked,good,157
iPhone 16 SE,128GB,locked,fair,107
iPhone 16 SE,128GB,locked,damaged,94
iPhone 16 SE,128GB,unlocked,flawless,279.09
iPhone 16 SE,128GB,unlocked,good,260
iPhone 16 SE,128GB,unlocked,fair,194
iPhone 16 SE,128GB,unlocked,damaged,114
iPhone 16 SE,256GB,locked,flawless,259
iPhone 16 SE,256GB,locked,good,219
iPhone 16 SE,256GB,locked,fair,163
iPhone 16 SE,256GB,locked,damaged,109
iPhone 16 SE,256GB,unlocked,flawless,332
iPhone 16 SE,256GB,unlocked,good,322
iPhone 16 SE,256GB,unlocked,fair,262
iPhone 16 SE,256GB,unlocked,damaged,134
Galaxy S25 Ultra,256GB,locked,flawless,557.00
Galaxy S25 Ultra,256GB,locked,good,495.00
Galaxy S25 Ultra,256GB,locked,fair,421.00
Galaxy S25 Ultra,256GB,locked,damaged,204
Galaxy S25 Ultra,256GB,unlocked,flawless,657.00
Galaxy S25 Ultra,256GB,unlocked,good,595.00
Galaxy S25 Ultra,256GB,unlocked,fair,520.00
Galaxy S25 Ultra,256GB,unlocked,damaged,191
Galaxy S25 Ultra,512GB,locked,flawless,586.00
Galaxy S25 Ultra,512GB,locked,good,525.00
Galaxy S25 Ultra,512GB,locked,fair,475.00
Galaxy S25 Ultra,512GB,locked,damaged,224
Galaxy S25 Ultra,512GB,unlocked,flawless,702.00
Galaxy S25 Ultra,512GB,unlocked,good,630.00
Galaxy S25 Ultra,512GB,unlocked,fair,575.00
Galaxy S25 Ultra,512GB,unlocked,damaged,211
S20 FE,128GB,locked,flawless,55.00
S20 FE,128GB,locked,good,45.00
S20 FE,128GB,locked,fair,30.00
S20 FE,128GB,locked,damaged,11
S20 FE,128GB,unlocked,flawless,65.00
S20 FE,128GB,unlocked,good,55.00
S20 FE,128GB,unlocked,fair,30.00
S20 FE,128GB,unlocked,damaged,11
