Model,Storage,Status,Quality,Price
IPHONE 16,512GB,unlocked,good,471
IPHONE 16,512GB,unlocked,fair,396
IPHONE 16,512GB,unlocked,damaged,338
IPHONE 16 PLUS,128GB,locked,flawless,422
IPHONE 16 PLUS,128GB,locked,good,381.00
IPHONE 16 PLUS,128GB,locked,fair,308
IPHONE 16 PLUS,128GB,locked,damaged,219
IPHONE 16 PLUS,128GB,unlocked,flawless,530.00
IPHONE 16 PLUS,128GB,unlocked,good,500.00
IPHONE 16 PLUS,128GB,unlocked,fair,406
IPHONE 16 PLUS,128GB,unlocked,damaged,257
IPHONE 16 PLUS,256GB,locked,flawless,459
IPHONE 16 PLUS,256GB,locked,good,420
IPHONE 16 PLUS,256GB,locked,fair,348
IPHONE 16 PLUS,256GB,locked,damaged,259
IPHONE 16 PLUS,256GB,unlocked,flawless,570.00
IPHONE 16 PLUS,256GB,unlocked,good,540.00
IPHONE 16 PLUS,256GB,unlocked,fair,445
IPHONE 16 PLUS,256GB,unlocked,damaged,317
IPHONE 16 PLUS,512GB,locked,flawless,497
IPHONE 16 PLUS,512GB,locked,good,456.00
IPHONE 16 PLUS,512GB,locked,fair,382
IPHONE 16 PLUS,512GB,locked,damaged,304
IPHONE 16 PLUS,512GB,unlocked,flawless,605.00
IPHONE 16 PLUS,512GB,unlocked,good,575.00
IPHONE 16 PLUS,512GB,unlocked,fair,480
IPHONE 16 PLUS,512GB,unlocked,damaged,347
IPHONE 16 PRO,1TB,locked,flawless,648
IPHONE 16 PRO,1TB,locked,good,596
IPHONE 16 PRO,1TB,locked,fair,530
IPHONE 16 PRO,1TB,locked,damaged,443
IPHONE 16 PRO,1TB,unlocked,flawless,803.99
IPHONE 16 PRO,1TB,unlocked,good,771
IPHONE 16 PRO,1TB,unlocked,fair,605
IPHONE 16 PRO,1TB,unlocked,damaged,533
IPHONE 16 PRO,128GB,locked,flawless,498
IPHONE 16 PRO,128GB,locked,good,461
IPHONE 16 PRO,128GB,locked,fair,386
IPHONE 16 PRO,128GB,locked,damaged,254
IPHONE 16 PRO,128GB,unlocked,flawless,553.99
IPHONE 16 PRO,128GB,unlocked,good,521
IPHONE 16 PRO,128GB,unlocked,fair,455
IPHONE 16 PRO,128GB,unlocked,damaged,314
IPHONE 16 PRO,256GB,locked,flawless,538
IPHONE 16 PRO,256GB,locked,good,506
IPHONE 16 PRO,256GB,locked,fair,430
IPHONE 16 PRO,256GB,locked,damaged,323
IPHONE 16 PRO,256GB,unlocked,flawless,603.99
IPHONE 16 PRO,256GB,unlocked,good,581
IPHONE 16 PRO,256GB,unlocked,fair,505
IPHONE 16 PRO,256GB,unlocked,damaged,413
IPHONE 16 PRO,512GB,locked,flawless,568
IPHONE 16 PRO,512GB,locked,good,536
IPHONE 16 PRO,512GB,locked,fair,470
IPHONE 16 PRO,512GB,locked,damaged,388
IPHONE 16 PRO,512GB,unlocked,flawless,683.99
IPHONE 16 PRO,512GB,unlocked,good,636
IPHONE 16 PRO,512GB,unlocked,fair,545
IPHONE 16 PRO,512GB,unlocked,damaged,483
IPHONE 16 PRO MAX,1TB,locked,flawless,778
IPHONE 16 PRO MAX,1TB,locked,good,726
IPHONE 16 PRO MAX,1TB,locked,fair,640
IPHONE 16 PRO MAX,1TB,locked,damaged,523
IPHONE 16 PRO MAX,1TB,unlocked,flawless,883.99
IPHONE 16 PRO MAX,1TB,unlocked,good,831
IPHONE 16 PRO MAX,1TB,unlocked,fair,745
IPHONE 16 PRO MAX,1TB,unlocked,damaged,633
IPHONE 16 PRO MAX,256GB,locked,flawless,628
IPHONE 16 PRO MAX,256GB,locked,good,576
IPHONE 16 PRO MAX,256GB,locked,fair,490
IPHONE 16 PRO MAX,256GB,locked,damaged,383
IPHONE 16 PRO MAX,256GB,unlocked,flawless,733.99
IPHONE 16 PRO MAX,256GB,unlocked,good,681
IPHONE 16 PRO MAX,256GB,unlocked,fair,595
IPHONE 16 PRO MAX,256GB,unlocked,damaged,493
IPHONE 16 PRO MAX,512GB,locked,flawless,688
IPHONE 16 PRO MAX,512GB,locked,good,636
IPHONE 16 PRO MAX,512GB,locked,fair,550
IPHONE 16 PRO MAX,512GB,locked,damaged,453
IPHONE 16 PRO MAX,512GB,unlocked,flawless,793.99
IPHONE 16 PRO MAX,512GB,unlocked,good,741
IPHONE 16 PRO MAX,512GB,unlocked,fair,655
IPHONE 16 PRO MAX,512GB,unlocked,damaged,563
iPhone 16 SE,128GB,locked,flawless,187
iPhone 16 SE,128GB,locked,good,155
iPhone 16 SE,128GB,locked,fair,105
iPhone 16 SE,128GB,locked,damaged,92
iPhone 16 SE,128GB,unlocked,flawless,290
iPhone 16 SE,128GB,unlocked,good,258
iPhone 16 SE,128GB,unlocked,fair,192
iPhone 16 SE,128GB,unlocked,damaged,112
iPhone 16 SE,256GB,locked,flawless,257
iPhone 16 SE,256GB,locked,good,217
iPhone 16 SE,256GB,locked,fair,161
iPhone 16 SE,256GB,locked,damaged,107
iPhone 16 SE,256GB,unlocked,flawless,330
iPhone 16 SE,256GB,unlocked,good,320
iPhone 16 SE,256GB,unlocked,fair,260
iPhone 16 SE,256GB,unlocked,damaged,132
S20 FE,128GB,locked,flawless,55
S20 FE,128GB,locked,good,45
S20 FE,128GB,locked,fair,30
S20 FE,128GB,locked,damaged,10
S20 FE,128GB,unlocked,flawless,65
S20 FE,128GB,unlocked,good,55
S20 FE,128GB,unlocked,fair,30
S20 FE,128GB,unlocked,damaged,10
S21,128GB,locked,flawless,71
S21,128GB,locked,good,60
S21,128GB,locked,fair,41
S21,128GB,locked,damaged,20
S21,128GB,unlocked,flawless,86
S21,128GB,unlocked,good,70
S21,128GB,unlocked,fair,51
S21,128GB,unlocked,damaged,17
S21 FE,128GB,locked,flawless,65
S21 FE,128GB,locked,good,55
S21 FE,128GB,locked,fair,35
S21 FE,128GB,locked,damaged,11
S21 FE,128GB,unlocked,flawless,85
S21 FE,128GB,unlocked,good,65
S21 FE,128GB,unlocked,fair,40
S21 FE,128GB,unlocked,damaged,11
S21 ULTRA,128GB,locked,flawless,141
S21 ULTRA,128GB,locked,good,125
S21 ULTRA,128GB,locked,fair,76
S21 ULTRA,128GB,locked,damaged,25
S21 ULTRA,128GB,unlocked,flawless,151
S21 ULTRA,128GB,unlocked,good,135
S21 ULTRA,128GB,unlocked,fair,86
S21 ULTRA,128GB,unlocked,damaged,30
S21+,128GB,locked,flawless,106
S21+,128GB,locked,good,95
S21+,128GB,locked,fair,56
S21+,128GB,locked,damaged,25
S21+,128GB,unlocked,flawless,108
S21+,128GB,unlocked,good,97
S21+,128GB,unlocked,fair,70
S21+,128GB,unlocked,damaged,30
S22,128GB,locked,flawless,101
S22,128GB,locked,good,85
S22,128GB,locked,fair,48
S22,128GB,locked,damaged,25
S22,128GB,unlocked,flawless,116
S22,128GB,unlocked,good,100
S22,128GB,unlocked,fair,66
S22,128GB,unlocked,damaged,30
S22,256gb,locked,flawless,108
S22,256gb,locked,good,93
S22,256gb,locked,fair,56
S22,256gb,locked,damaged,25
S22,256gb,unlocked,flawless,127
S22,256gb,unlocked,good,111
S22,256gb,unlocked,fair,92
S22,256gb,unlocked,damaged,36
S22 ULTRA,128GB,locked,flawless,158
S22 ULTRA,128GB,locked,good,138
S22 ULTRA,128GB,locked,fair,96
S22 ULTRA,128GB,locked,damaged,36
S22 ULTRA,128GB,unlocked,flawless,187
S22 ULTRA,128GB,unlocked,good,165
